INDEX,PLACE,city,X,Y
1,מרכז עזריאלי / צומת השלום,תל אביב,32.07473,34.79186
2,שרונה מרקט,תל אביב,32.0717,34.7876
3,כיכר רבין,תל אביב,32.08055,34.78057
4,דיזנגוף סנטר,תל אביב,32.07543,34.77455
5,הבימה,תל אביב,32.07228,34.77935
6,תחנה מרכזית חדשה,תל אביב,32.05596,34.77918
7,אוניברסיטת תל אביב,תל אביב,32.11331,34.80439
8,נמל תל אביב,תל אביב,32.0968,34.7739
9,כיכר השעון,יפו,32.05514362,34.75627171
10,שוק הפשפשים,יפו,32.05351887,34.75611507
11,נמל יפו,יפו,32.0521,34.75
12,קניון איילון,רמת גן,32.10040474,34.82718846
13,צומת ביאליק / ז׳בוטינסקי,רמת גן,32.08575866,34.81133444
14,מתחם הבורסה,רמת גן,32.0839,34.8008
15,הפארק הלאומי,רמת גן,32.052844,34.82289224
16,בית חולים שיבא,רמת גן,32.0469,34.8423
17,מגדלי BSR / מתחם BBC,בני ברק,32.0947763,34.82404499
18,תחנת רכבת בני ברק,בני ברק,32.1027,34.8294
19,רח׳ רבי עקיבא / ירושלים,בני ברק,32.0862884,34.83009007
20,הקניון הגדול,פתח תקווה,32.0914,34.8651
21,"מרכז רפואי בניידר,רבין בלינסון",פתח תקווה,32.0879,34.8678
22,עיריית עפולה ,פתח תקווה,32.0872,34.8875
23,צומת סגולה,פתח תקווה,32.10203682,34.89784292
24,צומת סירקין,פתח תקווה,32.08243836,34.902408
25,קניון חולון / עזריאלי חולון,חולון,32.0126,34.779
26,המדיטק,חולון,32.0139,34.7799
27,פארק פרס / ימית 2000,חולון,32.00385137,34.79439863
28,"קניון בת ים , BIG Fashion  בת ים",בת ים,32.01539803,34.75626351
29,קניון רננים,רעננה,32.1975379,34.87843991
30,קניון ערים,כפר סבא,32.17682945,34.90331354
